osm_id,historic,tourism,way
4705276289,,attraction,POINT (2333507.7194579886 5160094.824972604)
8677386085,monument,,POINT (2328637.9258817974 5171077.49633489)
9080920713,monument,,POINT (2340921.452829483 5170572.614507338)
9086030879,monument,,POINT (2340883.871369391 5171001.529926848)
2026119373,monument,,POINT (2327785.997818757 5130310.577782965)
7780203819,,attraction,POINT (2335059.9807015085 5088849.300706633)
7796229746,monument,,POINT (2329055.5854793047 5083932.6628122395)
7796229745,monument,,POINT (2329131.3161288914 5083863.89317203)
2359124380,locomotive,attraction,POINT (2332300.403920591 5088253.727528462)
2026911763,monument,,POINT (2334396.7948351074 5088146.542839558)
4585716598,castle,attraction,POINT (2333962.949383639 5088320.135062975)
6563726510,monument,,POINT (2311331.3072871487 5067769.092484206)
2851570672,monument,,POINT (2346291.27129442 5074227.462554443)
9874642666,,attraction,POINT (2331040.211625065 5043557.8352508135)
26864198,,attraction,POINT (2358102.091156401 5012734.330977626)
1867606193,monument,,POINT (2351022.371917032 4991275.039816421)
287224902,,attraction,POINT (2335754.3582892297 4991047.6626108615)
301812061,,attraction,POINT (2335959.987652623 4983099.047908867)
5297308190,monument,,POINT (2334637.6456853882 4995814.288810838)
2545342051,monument,,POINT (2327912.979961904 5008879.030132044)
2051418481,,attraction,POINT (2315143.8106036843 5011812.31638573)
2051449779,,attraction,POINT (2315257.7015747144 5011500.538593306)
293664138,,attraction,POINT (2312312.6331262877 5000260.45689155)
5599976522,,attraction,POINT (2312810.27577793 5000962.7558534695)
1804963753,,attraction,POINT (2308935.0216644346 4999532.444769725)
9244183971,,attraction,POINT (2315668.5706832837 5019258.294307319)
5720872861,,attraction,POINT (2316929.119201179 5019906.566689283)
3011061690,wayside_shrine,attraction,POINT (2316949.401612402 5021148.38051493)
7733998473,,attraction,POINT (2316299.7299321834 5017195.854320712)
9006404817,,attraction,POINT (2316096.0263959807 5016322.966991242)
412399303,,attraction,POINT (2316605.9698513555 5014973.416055842)
9244223922,,attraction,POINT (2321400.1329655023 5014487.874989302)
2759253188,monument,artwork,POINT (2315444.7405831455 5028882.733579873)
2759245083,monument,artwork,POINT (2315393.9343675477 5028978.181342599)
8951219184,monument,,POINT (2315371.158399731 5028873.011553962)
2759263738,monument,artwork,POINT (2315336.604829789 5028919.361178385)
11004301405,,attraction,POINT (2315480.7969662133 5029469.530554705)
4485692539,,attraction,POINT (2314411.038923588 5029058.086321933)
9161046821,,attraction,POINT (2314981.9298001723 5028911.456461074)
4931101175,,attraction,POINT (2314928.429652897 5028938.140448521)
9042274365,,attraction,POINT (2314755.85104632 5029260.732910914)
7817956982,city_gate,attraction,POINT (2314878.313618142 5029322.007926417)
9259573601,,attraction,POINT (2315007.0768731427 5028910.082370684)
2051112580,,attraction,POINT (2317094.651283989 5027497.059011195)
5405804948,,attraction,POINT (2317982.791577385 5025347.676050368)
2051569337,,attraction,POINT (2315931.073174523 5023243.260503217)
9712177587,,attraction,POINT (2319568.393008397 5037370.529771922)
5359487099,,attraction,POINT (2319578.367234772 5037361.213295815)
495558836,monument,,POINT (2302068.7018889165 5038582.1324940855)
4972835907,monument,,POINT (2301906.164300409 5037989.222988708)
4489443488,monument,,POINT (2285112.0383774745 5089758.140808443)
4489533858,,attraction,POINT (2292626.226457461 5101701.409345433)
