"osm_id","access","addr:housename","addr:housenumber","addr:interpolation","admin_level","aerialway","aeroway","amenity","area","barrier","bicycle","brand","bridge","boundary","building","capital","construction","covered","culvert","cutting","denomination","disused","ele","embankment","foot","generator:source","harbour","highway","historic","horse","intermittent","junction","landuse","layer","leisure","lock","man_made","military","motorcar","name","natural","office","oneway","operator","place","population","power","power_source","public_transport","railway","ref","religion","route","service","shop","sport","surface","toll","tourism","tower:type","tunnel","water","waterway","wetland","width","wood","z_order","way"
8941327666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2366404.8887730646 5002806.791396151)
8941334329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2365834.075820124 5003535.534711383)
8941334370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2365976.4757127464 5004548.981350741)
8848292748,,,,,,,,,,,,,,,,,,,,,,,"2340",,,,,,,,,,,,,,,,,Муза,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2364622.752781057 5004148.052563288)
8953682489,,,,,,,,,,,,,,,,,,,,,,,"2177",,,,,,,,,,,,,,,,,,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2363442.1093936525 5004606.298243932)
8848292747,,,,,,,,,,,,,,,,,,,,,,,"2215",,,,,,,,,,,,,,,,,Голема Грива,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2362835.295717389 5004922.188325418)
8848292746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2361694.949985652 5004967.008907731)
2791603364,,,,,,,,,,,,,,,,,,,,,,,"2285",,,,,,,,,,,,,,,,,Орлов  Врв,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2360496.01680591 5004935.497408056)
6593125965,,,,,,,,,,,,,,,,,,,,,,,"2400",,,,,,,,,,,,,,,,,Ветерница,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2359766.117168677 5006906.93128847)
8953451617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2360717.386745302 5006308.184580762)
8953451654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2360703.527468698 5006148.940699264)
8953451616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spring,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (2360390.8755468563 5005877.187003181)
